id,character,name,cloth,version,group,rank,god,artistSaint,artistCloth,image,historySaint,historyCloth,curiosities
237,214,214,21,,poseidon-gods,9,494,1,1,/cloth-schemes/poseidon-mariners/poseidon-julian-solo.jpg,1,1,
238,215,215,70,,athena-saints-22,5,582,1,1,/cloth-schemes/athena-saints/chamaeleon-june.jpg,1,1,
239,216,216,204,,athena-saints-50,5,582,,,,6,0,
240,217,217,46,v1,hades-celestial-star-34,13,168,3,3,/cloth-schemes/hades-specters/bennu-kagaho-v1.jpg,6,6,
241,218,218,,,hades-terrestrial-star-80,14,168,6,6,/cloth-schemes/hades-specters/kageboshi.jpg,7,0,
242,219,219,,,chronos-gods,9,524,6,6,/cloth-schemes/chronos-hours/kairos.jpg,6,0,
243,220,220,189,,athena-saints-46,7,582,5,5,/cloth-schemes/athena-saints/leo-kaiser.jpg,4,0,
244,221,221,148,,athena-saints-38,7,582,,,/cloth-schemes/athena-saints/gemini-kanon.jpg,1,0,
245,221,221,309,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/sea-dragon-kanon.jpg,1,1,
246,127,288,305,,athena-saints-73,7,582,20,20,/cloth-schemes/athena-saints/scorpio-kardia.png,6,6,
247,224,224,132,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/lyumnades-kasa.jpg,1,1,
248,225,225,80,,athena-saints-27,5,582,4,4,/cloth-schemes/athena-saints/corona-borealis-katya.png,5,5,
249,226,226,86,,athena-saints-30,6,582,31,8,/cloth-schemes/athena-saints/crux-kazuma.png,16,0,
250,227,,261,,athena-saints-62,4,582,6,6,/cloth-schemes/athena-saints/pegasus-kenuma.jpg,1,1,
251,228,228,182,,hades-brother-gods,9,168,1,1,/cloth-schemes/hades-specters/ker.jpg,42,42,
252,229,229,39,,athena-soldiers,3,582,31,8,/cloth-schemes/athena-saints/kelly.png,16,0,
253,230,230,26,,athena-saints-7,7,582,5,5,/cloth-schemes/athena-saints/aries-kiki.png,16,16,
254,231,231,133,,athena-saints-35,5,582,5,31,/cloth-schemes/athena-saints/equuleus-kitalpha.png,16,0,
255,232,232,47,,ares-legion-flame,23,33,6,6,/cloth-schemes/ares-berserkers/bhuj-kokalo.jpg,7,0,
256,233,233,157,,athena-saints-39,5,582,6,6,/cloth-schemes/athena-saints/grus-komachi.jpg,16,0,
257,234,234,261,v1,athena-saints-62,5,582,5,31,/cloth-schemes/athena-saints/pegasus-kouga-1.png,16,0,
258,234,234,261,v2,athena-saints-62,5,582,5,31,/cloth-schemes/athena-saints/pegasus-kouga-2.png,16,16,
259,234,234,261,omega,athena-saints-62,9,582,31,5,/cloth-schemes/athena-saints/pegasus-kouga-omega-1.png,16,16,
260,234,234,261,ultimate,athena-saints-62,9,582,31,5,/cloth-schemes/athena-saints/pegasus-kouga-super-omega.png,16,0,
261,235,235,18,,athena-saints-4,7,582,5,5,/cloth-schemes/athena-saints/aquarius-krest.jpg,7,0,
262,235,235,183,,garnet-jewels-leader,,149,6,6,/cloth-schemes/garnet-jewels/koh-i-noor-krest.jpg,7,0,
263,236,236,72,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/chrysaor-krishna.jpg,1,1,
264,185,185,90,omega,athena-saints-31,5,582,5,5,/cloth-schemes/athena-saints/cygnus-hyoga-3-omega.jpg,16,16,
265,238,238,133,,athena-saints-35,5,582,4,4,/cloth-schemes/athena-saints/equuleus-kyoko.jpg,5,5,
266,239,239,290,,athena-saints-68,6,582,5,6,/cloth-schemes/athena-saints/puppis-lacaille.jpg,6,0,
267,240,240,170,,typhon-sons-3,,444,5,6,/cloth-schemes/typhon-gigas/hundred-dragons-ladon.jpg,27,0,
268,241,241,365,,hades-terrestrial-star-85,14,168,1,1,/cloth-schemes/hades-specters/worm-laimi.jpg,1,1,
269,242,242,397,,lamech-gods,9,242,6,6,/cloth-schemes/lamech-servants/lamech.jpg,29,0,1
270,243,243,28,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/arondight-lancelot.jpg,10,10,
271,424,424,261,v1,athena-saints-62,5,582,,,/cloth-schemes/athena-saints/pegasus-tenma-1.jpg,15,15,
272,243,243,55,,athena-saints-12,9,582,,,/cloth-schemes/athena-saints/cancer-lancelot-god.jpg,10,0,
273,245,245,,,hades-terrestrial-star-101,13,168,6,6,/cloth-schemes/hades-specters/larry.jpg,29,0,1
274,246,246,,,artemis-satellite-captain,12,38,5,6,/cloth-schemes/artemis-satellites/lascoumoune.jpg,4,0,
275,247,247,8,,athena-saints-1,5,582,6,6,/cloth-schemes/athena-saints/leda.jpg,12,0,
276,314,501,,,athena-saints-34,1,582,6,6,/cloth-schemes/athena-saints/soldier-ohko-lei-hu.jpg,29,0,
277,250,250,165,,athena-saints-40,4,582,6,6,/cloth-schemes/athena-saints/heracles-lemargos.jpg,7,1,
278,251,251,350,,hades-terrestrial-star-92,14,168,6,6,/cloth-schemes/hades-specters/upyr-leybold.jpg,7,0,
279,252,252,,,hakuryu-taonias-low,25,496,3,,/cloth-schemes/hakuryu-taonias/liu-xing.jpg,7,0,
280,253,253,50,,pallas-weapon-thirdclass-7,34,323,31,8,/cloth-schemes/pallas-pallasites/spear-brionac-loge.png,16,0,
281,254,254,199,,odin-god-warriors,,495,5,5,/cloth-schemes/odin-god-warriors/loki.png,22,12,
282,256,256,243,,athena-saints-57,5,582,6,6,/cloth-schemes/athena-saints/norma-luciano.png,16,0,
283,257,257,202,,apollo-fallen-angels,17,28,6,6,/cloth-schemes/apollo-angels/angel-lucifer-fallen.jpg,24,0,
284,258,258,121,,hades-celestial-star-15,13,168,3,3,/cloth-schemes/hades-specters/dryad-luco.jpg,7,7,
285,259,259,216,v1,ares-mars-gods,9,33,5,5,/cloth-schemes/ares-martians/mars-ludwig-v1.jpg,16,0,
286,260,260,284,,athena-saints-66,7,582,5,5,/cloth-schemes/athena-saints/pisces-lugonis.jpg,6,0,
287,261,261,36,,hades-celestial-star-9,13,168,1,1,/cloth-schemes/hades-specters/balron-lune.jpg,1,1,
288,262,262,209,,eris-ghost-saints-2,,308,4,6,/cloth-schemes/eris-dryads/madness-mania.jpg,5,0,
289,98,351,55,,athena-saints-12,7,582,21,16,/cloth-schemes/athena-saints/cancer-manigold-lost-canvas-anime.jpg,15,15,
290,264,264,217,,ares-mars-martians,15,33,31,8,/cloth-schemes/ares-martians/martian-commander.png,16,0,
291,265,516,245,,eris-ghost-saints-2,,308,6,6,/cloth-schemes/eris-dryads/oblivion-maria.jpg,5,0,
292,266,266,20,,athena-saints-5,6,582,1,1,/cloth-schemes/athena-saints/aquila-marin.jpg,1,1,
293,565,565,127,,poseidon-mariner-soldiers,1,494,11,11,/cloth-schemes/poseidon-mariners/mariner-soldiers.jpg,12,0,
294,268,268,317,,hades-skeleton,1,168,1,1,/cloth-schemes/hades-specters/skeleton-markino.jpg,1,1,
295,269,269,301,,athena-saints-71,6,582,5,5,/cloth-schemes/athena-saints/sagitta-maya.png,21,21,
296,270,270,258,,athena-saints-61,6,582,4,4,/cloth-schemes/athena-saints/pavo-mayura.jpg,5,5,
297,271,271,,,ares-mars-representatives,20,33,31,31,/cloth-schemes/ares-martians/medea.png,16,0,
298,272,272,78,,athena-saints-25,5,582,12,12,/cloth-schemes/athena-saints/coma-berenices-mei.jpg,27,0,
299,273,273,67,,athena-saints-21,6,582,31,,/cloth-schemes/athena-saints/cetus-menkar.png,16,0,
300,274,274,74,v1,pallas-weapon-thirdclass-1,34,323,31,8,/cloth-schemes/pallas-pallasites/claw-max-brilliants-methone-1.png,16,0,
301,275,275,52,,athena-saints-10,6,582,31,19,/cloth-schemes/athena-saints/caelum-michelangelo-omega.jpg,16,0,
302,276,276,57,,athena-saints-13,6,582,6,6,/cloth-schemes/athena-saints/canes-venatici-miguel.png,16,0,
303,277,277,2,v1,pallas-unknown-unknownclass,32,323,31,8,/cloth-schemes/pallas-pallasites/alchemy-glove-miller-1.png,16,0,
304,277,277,2,v2,pallas-unknown-unknownclass,,323,5,5,/cloth-schemes/pallas-pallasites/alchemy-glove-miller-2.jpg,16,0,
305,278,278,131,,hades-terrestrial-star-104,14,168,14,14,/cloth-schemes/hades-specters/elf-mills.jpg,1,0,
306,279,279,305,,athena-saints-73,7,582,1,1,/cloth-schemes/athena-saints/scorpio-milo.jpg,1,1,
307,279,279,305,,athena-saints-73,9,582,5,5,/cloth-schemes/athena-saints/scorpio-milo-god.jpg,14,14,
308,280,280,45,,odin-ursa-major-star-5,,495,33,32,/cloth-schemes/odin-god-warriors/benetnasch-mime.jpg,12,12,
309,,,,,hades-terrestrial-star-63,14,168,,,/cloth-schemes/hades-specters/star-crazy-next-dimension.jpg,4,0,
310,282,282,156,,hades-celestial-star-10,13,168,1,1,/cloth-schemes/hades-specters/griffon-minos.jpg,1,1,
311,379,223,261,,athena-saints-62,5,582,38,,/cloth-schemes/athena-saints/pegasus-centaurus.jpg,44,0,
312,284,284,409,,athena-saints-15,5,582,6,6,/cloth-schemes/athena-saints/canis-minor-mirai.jpg,5,0,
313,285,285,110,,athena-saints-51,5,582,15,15,/cloth-schemes/athena-saints/lynx-mirapolos.jpg,16,8,
314,286,286,273,,athena-saints-63,6,582,31,8,/cloth-schemes/athena-saints/perseus-mirfak.png,16,0,
315,287,287,186,,athena-saints-45,6,582,1,1,/cloth-schemes/athena-saints/lacerta-misty.jpg,1,1,
316,379,379,268,,athena-gods,7,582,39,,/cloth-schemes/athena-saints/supreme-synapse-gold-cloth-seiya.jpg,36,0,
317,290,290,141,,hades-terrestrial-star-44,14,168,,,,4,0,
318,291,291,220,,cronus-titans-12,,84,5,25,/cloth-schemes/cronus-titans/memory-mnemosyne.jpg,8,8,
319,292,292,341,,apollo-fallen-angels-thrones,17,28,5,5,/cloth-schemes/apollo-angels/thrones-moa.jpg,24,0,
320,293,293,,,hades-celestial-star-17,13,168,6,6,/cloth-schemes/hades-specters/moe.jpg,29,0,1
321,294,294,232,,hades-dream-gods,9,168,3,3,/cloth-schemes/hades-specters/modeler-morpheus.jpg,6,6,
322,295,295,67,,athena-saints-21,6,582,1,1,/cloth-schemes/athena-saints/cetus-moses.jpg,1,1,
323,296,296,26,,athena-saints-7,7,582,1,1,/cloth-schemes/athena-saints/aries-mu.jpg,1,1,
324,296,296,26,,athena-saints-7,9,582,5,5,/cloth-schemes/athena-saints/aries-mu-god.png,14,14,
325,297,297,323,,hakuryu-taonias,,496,3,3,/cloth-schemes/hakuryu-taonias/sparrow-mudan.jpg,7,7,
326,298,298,189,,athena-saints-46,7,582,5,5,/cloth-schemes/athena-saints/leo-mycenae.png,16,16,
327,100,100,18,,athena-saints-4,7,582,16,10,/cloth-schemes/athena-saints/aquarius-mystoria.png,4,0,
328,300,300,257,,hades-terrestrial-star-83,14,168,1,1,/cloth-schemes/hades-specters/papillon-myu.jpg,1,1,
329,301,301,204,,athena-saints-50,5,582,1,1,/cloth-schemes/athena-saints/lupus-nachi.jpg,1,1,
330,302,302,367,,tezcatlipoca-jaguars,,163,3,3,/cloth-schemes/tezcatlipoca-jaguars/youaltepuztli-nahualpilli.jpg,7,7,
331,303,303,24,,athena-saints-6,6,582,12,12,/cloth-schemes/athena-saints/ara-nicole.jpg,27,6,
332,304,304,102,,hades-terrestrial-star-51,14,168,1,1,/cloth-schemes/hades-specters/deep-niobe.jpg,1,1,
333,305,305,344,,athena-saints-80,6,582,5,5,/cloth-schemes/athena-saints/triangulum-noesis.jpg,8,29,
334,309,309,88,,cronus-titans-9,,84,5,25,/cloth-schemes/cronus-titans/current-oceanus.jpg,8,8,
335,310,310,153,,hades-terrestrial-star-65,14,168,6,6,/cloth-schemes/hades-specters/gorgon-ochs.jpg,1,0,
336,312,312,249,,athena-saints-59,6,582,6,1,/cloth-schemes/athena-saints/ophiuchus-odysseus-silver.jpg,29,1,
337,312,312,249,,athena-saints-59,7,582,1,1,/cloth-schemes/athena-saints/ophiuchus-odysseus.jpg,4,4,
338,313,313,202,,apollo-angels,,28,17,26,/cloth-schemes/apollo-angels/odysseus.jpg,25,0,
339,314,314,,,athena-saints-34,1,582,6,6,/cloth-schemes/athena-saints/soldier-ohko.jpg,12,0,
340,315,315,248,,hades-dream-gods,9,168,3,3,/cloth-schemes/hades-specters/dream-oneiros.jpg,6,6,
341,316,316,212,,ares-mars-martians,,33,5,8,/cloth-schemes/ares-martians/mantis-ordykia.png,16,0,
342,317,317,207,,athena-saints-52,6,582,1,1,/cloth-schemes/athena-saints/lyra-orphee.jpg,1,1,
343,318,318,207,,athena-saints-52,6,582,5,5,/cloth-schemes/athena-saints/lyra-orpheus.png,21,21,
344,319,319,106,,typhon-sons-1,,444,5,6,/cloth-schemes/typhon-gigas/demon-twin-dog-orthros.jpg,27,0,
345,174,174,336,,athena-saints-78,7,582,5,5,/cloth-schemes/athena-saints/taurus-ox.jpg,4,0,
346,71,,18,,apollo-golden-warriors,7,28,,,/cloth-schemes/apollo-golden-warriors/aquarius-camus-guardians.jpg,46,0,
347,322,322,327,,typhon-brothers-3,,444,5,6,/cloth-schemes/typhon-gigas/stupidity-pallas.jpg,27,0,
348,323,323,256,,pallas-gods,9,323,5,5,/cloth-schemes/pallas-pallasites/pallas.png,16,16,
349,325,325,,,hades-representative,31,168,10,10,/cloth-schemes/hades-specters/pandora-heinstein.png,1,0,
350,326,326,33,,arthur-gladiators,,488,,,/cloth-schemes/arthur-gladiators/azoth-paracelsus.png,10,0,
351,327,327,17,,athena-saints-3,5,582,30,,/cloth-schemes/athena-saints/apus-paradise.png,16,0,
352,328,328,148,,athena-saints-38,7,582,5,5,/cloth-schemes/athena-saints/gemini-paradox.png,16,16,
353,328,328,326,,pallas-weapon-secondclass-3,33,323,31,8,/cloth-schemes/pallas-pallasites/staff-scarlet-janus-paradox.png,16,0,
354,329,329,242,,hades-ressurected-saints,,168,3,3,/cloth-schemes/hades-specters/owl-partita.jpg,6,6,
355,330,330,272,,hades-gods,9,168,6,6,/cloth-schemes/hades-specters/persephone.jpg,29,0,
356,331,331,476,,athena-former-saints-49,,582,33,8,/cloth-schemes/athena-saints/phaeton.jpg,12,0,
357,332,332,275,,hades-dream-gods,9,168,3,3,/cloth-schemes/hades-specters/portrayer-phantasos.jpg,6,6,
358,333,333,324,,hades-terrestrial-star-57,13,168,1,1,/cloth-schemes/hades-specters/sphinx-pharaoh.jpg,1,1,
359,334,334,206,,hades-celestial-star-29,13,168,1,1,/cloth-schemes/hades-specters/lycaon-phlegyas.jpg,1,1,
360,335,335,277,,hades-dream-gods,9,168,6,6,/cloth-schemes/hades-specters/phobetor.jpg,7,0,
361,337,337,229,,cronus-titans-8,,84,5,25,/cloth-schemes/cronus-titans/moon-phoebe.jpg,8,8,
362,338,338,234,,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/murder-phonos.jpg,5,0,
363,339,339,,,odin-blue-warrior-representative,,495,6,6,/cloth-schemes/odin-blue-warriors/piotr.jpg,1,0,
364,340,340,258,,athena-saints-61,6,582,5,,/cloth-schemes/athena-saints/pavo-pavlin.png,16,0,
365,341,341,297,,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/revenge-poena.jpg,5,0,
366,342,342,29,,pontos-primordial-gods,9,342,6,6,/cloth-schemes/pontos-primordial/ars-magna-pontus.jpg,8,0,
367,370,370,25,,eris-gods,9,308,5,5,/cloth-schemes/eris-dryads/ares-saga-anime.jpg,17,0,
368,344,344,301,,athena-saints-71,6,582,1,1,/cloth-schemes/athena-saints/sagitta-ptolemy.jpg,1,1,
369,345,345,185,,typhon-gigas-2,,444,27,27,/cloth-schemes/typhon-gigas/kyanos-pyrokus.jpg,8,0,
370,346,346,,,hades-pluton-faceless,,168,,,/cloth-schemes/hades-faceless/pyromaniac.jpg,10,0,
371,347,347,5,,hades-terrestrial-star-82,13,168,1,1,/cloth-schemes/hades-specters/alraune-queen.jpg,1,1,
372,348,348,,,ra-egyptian-gods,9,348,6,6,/cloth-schemes/ra-legionaries/ra.jpg,8,0,
373,349,349,13,,ares-mars-martians,,33,31,8,/cloth-schemes/ares-martians/ant-radzinsky.png,16,0,
374,350,350,325,,ares-mars-martians,,33,31,11,/cloth-schemes/ares-martians/spider-ragno.png,16,0,
375,11,11,302,,athena-saints-72,7,582,,,/cloth-schemes/athena-saints/sagittarius-aiolos-kotz.jpg,20,0,
376,220,425,189,,athena-saints-46,7,582,16,16,/cloth-schemes/athena-saints/leo-regulus.png,6,0,
377,354,354,110,,athena-saints-51,5,582,7,7,/cloth-schemes/athena-saints/lynx-retsu.jpg,8,8,
378,355,355,9,v1,hades-celestial-star-7,13,168,1,1,/cloth-schemes/hades-specters/wyvern-rhadamanthys-1.jpg,1,1,
379,356,356,233,,cronus-titans-2,,84,5,25,/cloth-schemes/cronus-titans/mother-of-gods-rhea.jpg,8,8,
380,357,357,142,,pallas-weapon-secondclass-5,33,323,31,8,/cloth-schemes/pallas-pallasites/perfect-pawn-rhea.png,16,0,
381,358,358,283,,typhon-gigas-1,,444,27,27,/cloth-schemes/typhon-gigas/phoinikeos-rhuax.jpg,8,0,
382,359,359,252,,athena-saints-60,6,582,,,,5,0,
383,359,46,255,,eris-ghost-saints-2,,308,6,6,/cloth-schemes/eris-dryads/pain-rigel.jpg,5,0,
384,360,,278,,athena-saints-64,4,582,6,6,/cloth-schemes/athena-saints/phoenix-ritahoa.jpg,1,1,
385,361,361,152,,hades-terrestrial-star-91,13,168,1,1,/cloth-schemes/hades-specters/golem-rock.jpg,1,1,
386,362,362,261,,athena-saints-62,5,582,,,/cloth-schemes/athena-saints/pegasus-rodorio.jpg,29,0,
387,363,363,125,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/durandal-roland.jpg,10,10,
388,364,364,298,,ares-mars-heavenly-kings,,33,5,5,/cloth-schemes/ares-martians/romulus.png,16,0,
389,365,365,295,,athena-former-saints-66,5,582,6,6,/cloth-schemes/athena-saints/rangifer-rudolph.png,16,29,
390,366,366,300,,odin-god-warriors,,495,5,5,/cloth-schemes/odin-god-warriors/rung.png,22,0,
391,367,367,82,,athena-saints-28,4,582,6,6,/cloth-schemes/athena-saints/corvus-ruse.jpg,7,1,
392,368,368,292,,athena-saints-69,5,582,5,6,/cloth-schemes/athena-saints/pyxis-rusk.jpg,6,29,
393,369,369,111,v1,athena-saints-34,5,582,5,31,/cloth-schemes/athena-saints/draco-ryuho-1.png,16,0,
394,369,369,111,v2,athena-saints-34,5,582,5,31,/cloth-schemes/athena-saints/draco-ryuho-2.png,16,16,
395,369,369,111,omega,athena-saints-34,9,582,31,5,/cloth-schemes/athena-saints/draco-ryuho-omega.png,16,16,
396,370,370,25,,eris-gods,9,308,6,6,/cloth-schemes/eris-dryads/ares-saga.jpg,5,0,
397,370,370,148,,athena-saints-38,7,582,1,1,/cloth-schemes/athena-saints/gemini-saga.jpg,1,1,
398,370,370,148,,athena-saints-38,9,582,5,5,/cloth-schemes/athena-saints/gemini-saga-god.jpg,14,14,
399,371,371,55,,athena-saints-12,7,582,20,16,/cloth-schemes/athena-saints/cancer-sage-lost-canvas-anime.jpg,15,15,
400,396,396,59,,athena-saints-16,7,582,,,/cloth-schemes/athena-saints/capricornus-shura-kotz.jpg,20,0,
401,,,,,hades-terrestrial-star-69,14,168,,,/cloth-schemes/hades-specters/star-retreating-next-dimension.jpg,4,0,
402,374,374,6,,athena-gods,9,582,1,1,/cloth-schemes/athena-saints/athena-saori-kido.jpg,1,1,
403,375,375,6,,athena-gods,9,582,10,10,/cloth-schemes/athena-saints/athena-sasha-lost-canvas-anime.jpg,15,15,
404,377,377,55,,athena-saints-12,7,582,5,5,/cloth-schemes/athena-saints/cancer-schiller.png,16,16,
405,379,379,261,v1,athena-saints-62,5,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-1.jpg,42,42,
406,379,379,261,v2,athena-saints-62,5,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-2.jpg,1,1,
407,379,379,261,v3,athena-saints-62,5,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-3.jpg,1,1,
408,379,379,261,v4,athena-saints-62,5,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-4.jpg,1,1,
409,379,379,261,v5,athena-saints-62,5,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-5.jpg,1,1,
410,379,379,261,,athena-saints-62,9,582,1,1,/cloth-schemes/athena-saints/pegasus-seiya-god.jpg,1,1,
411,379,379,261,miraculous,athena-saints-62,,582,5,5,/cloth-schemes/athena-saints/pegasus-seiya-miracles.jpg,25,33,
412,379,379,261,v1,athena-saints-62,5,582,7,7,/cloth-schemes/athena-saints/pegasus-seiya-1-anime.jpg,12,12,
413,379,379,302,v1,athena-saints-72,7,582,5,5,/cloth-schemes/athena-saints/sagittarius-seiya-1.png,16,16,
414,379,379,302,v2,athena-saints-72,7,582,5,5,/cloth-schemes/athena-saints/sagittarius-seiya-2.png,16,16,
415,379,379,246,,odin-gods,9,495,22,22,/cloth-schemes/odin-god-warriors/odin-seiya-manga.jpg,12,12,
416,379,379,368,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/kusanagi-seiya.jpg,10,10,
417,380,380,21,,poseidon-gods,9,494,12,1,/cloth-schemes/poseidon-mariners/poseidon-seraphina.jpg,6,1,
418,381,381,356,,athena-saints-86,7,582,1,1,/cloth-schemes/athena-saints/virgo-shaka.jpg,1,1,
419,381,381,356,,athena-saints-86,9,582,5,5,/cloth-schemes/athena-saints/virgo-shaka-god.jpg,14,14,
420,382,382,301,,athena-saints-71,6,582,31,19,/cloth-schemes/athena-saints/sagitta-sham.png,16,0,
421,383,383,37,,balor-fairies,,492,6,6,/cloth-schemes/balor-fairies/banshee-shelley.jpg,7,0,
422,11,,302,,apollo-golden-warriors,7,28,,,/cloth-schemes/apollo-golden-warriors/sagittarius-aiolos-guardians.jpg,46,0,
423,40,40,356,,athena-saints-86,7,582,,10,/cloth-schemes/athena-saints/virgo-shijima.jpg,4,0,
424,386,386,249,,athena-saints-59,6,582,1,1,/cloth-schemes/athena-saints/ophiuchus-shaina.jpg,1,1,
425,387,,111,,athena-saints-34,4,582,6,6,/cloth-schemes/athena-saints/draco-shinadekuro.jpg,1,1,
426,388,388,17,,athena-saints-3,5,582,6,6,/cloth-schemes/athena-saints/apus-shinato.jpg,5,0,
427,389,389,26,,athena-saints-7,7,582,16,10,/cloth-schemes/athena-saints/aries-shion-next-dimension.jpg,4,0,
428,390,390,111,v1,athena-saints-34,5,582,1,1,/cloth-schemes/athena-saints/draco-shiryu-1.jpg,42,42,
429,390,390,111,v1,athena-saints-34,5,582,7,7,/cloth-schemes/athena-saints/draco-shiryu-1-anime.jpg,12,12,
430,390,390,111,v2,athena-saints-34,5,582,1,1,/cloth-schemes/athena-saints/draco-shiryu-2.jpg,1,1,
431,390,390,111,v3,athena-saints-34,5,582,1,1,/cloth-schemes/athena-saints/draco-shiryu-3.jpg,1,1,
432,390,390,111,v4,athena-saints-34,5,582,1,1,/cloth-schemes/athena-saints/draco-shiryu-4.jpg,1,1,
433,390,390,111,,athena-saints-34,9,582,1,1,/cloth-schemes/athena-saints/draco-shiryu-god.jpg,1,1,
434,390,390,197,,athena-saints-49,7,582,5,5,/cloth-schemes/athena-saints/libra-shiryu.png,11,11,
435,391,391,258,,athena-saints-61,6,582,5,5,/cloth-schemes/athena-saints/pavo-shiva.jpg,12,0,
436,392,392,318,,athena-saints-82,3,582,5,5,/cloth-schemes/athena-saints/tucana-sho-steel.jpg,12,12,
437,76,76,261,,athena-saints-62,4,582,,,/cloth-schemes/athena-saints/black-saint-cassios-kotz.jpg,20,0,
438,394,394,133,v2,athena-saints-35,5,582,4,4,/cloth-schemes/athena-saints/equuleus-shoko-2.jpg,5,5,
439,395,395,8,v1,athena-saints-1,5,582,1,1,/cloth-schemes/athena-saints/andromeda-shun-1.jpg,1,1,
440,489,489,401,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/clarent-mordred.jpg,10,0,
441,395,395,8,v2,athena-saints-1,5,582,1,1,/cloth-schemes/athena-saints/andromeda-shun-2.jpg,1,1,
442,395,395,8,v3,athena-saints-1,5,582,1,1,/cloth-schemes/athena-saints/andromeda-shun-3.jpg,1,1,
443,395,395,8,,athena-saints-1,9,582,1,1,/cloth-schemes/athena-saints/andromeda-shun-god.jpg,1,1,
444,395,395,356,,athena-saints-86,7,582,,10,/cloth-schemes/athena-saints/virgo-shun.jpg,10,0,
445,396,396,38,,hades-ressurected-saints,,168,,,/cloth-schemes/hades-specters/baphomet-shura.png,10,1,
446,396,396,59,,athena-saints-16,7,582,1,1,/cloth-schemes/athena-saints/capricornus-shura.jpg,1,1,
447,396,396,59,,athena-saints-16,9,582,5,5,/cloth-schemes/athena-saints/capricornus-shura-god.jpg,14,14,
448,397,397,122,,odin-ursa-major-star-1,,495,33,32,/cloth-schemes/odin-god-warriors/dubhe-siegfried.jpg,12,12,
449,398,398,155,,odin-chamber-6,,495,5,5,/cloth-schemes/odin-god-warriors/grani-sigmund.png,14,0,
450,399,402,154,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/gram-sigurd.jpg,10,10,
451,400,400,,,lamech-servants,,242,6,6,/cloth-schemes/lamech-servants/sillas.jpg,29,0,1
452,401,401,58,,athena-saints-14,6,582,1,1,/cloth-schemes/athena-saints/canis-major-sirius.jpg,1,1,
453,157,248,302,,athena-saints-72,7,582,21,21,/cloth-schemes/athena-saints/sagittarius-sisyphus-lost-canvas-anime.jpg,15,15,
454,403,403,167,,ares-mars-martians,,33,31,8,/cloth-schemes/ares-martians/hornet-sonia.png,16,0,
455,403,403,305,,athena-saints-73,7,582,5,5,/cloth-schemes/athena-saints/scorpio-sonia.png,16,16,
456,404,404,103,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/siren-sorrento.jpg,1,1,
457,405,405,,,hades-pluton-faceless,,168,,,/cloth-schemes/hades-faceless/soul-reaper.jpg,10,0,
458,406,406,191,v1,athena-saints-47,5,582,5,31,/cloth-schemes/athena-saints/leo-minor-souma-1.png,16,0,
459,406,406,191,v2,athena-saints-47,5,582,31,31,/cloth-schemes/athena-saints/leo-minor-souma-2.png,16,16,
460,406,406,191,omega,athena-saints-47,9,582,31,5,/cloth-schemes/athena-saints/leo-minor-souma-omega.png,16,16,
461,407,407,,,athena-unknown-saints,6,582,6,6,/cloth-schemes/athena-saints/spartan.jpg,12,0,
462,408,408,274,,typhon-gigas-5,,444,27,27,/cloth-schemes/typhon-gigas/phaios-spathe.jpg,8,0,
463,409,409,425,,athena-saints-33,5,582,6,6,/cloth-schemes/athena-saints/dorado-spear.png,16,0,
464,410,410,8,,athena-saints-1,5,582,5,5,/cloth-schemes/athena-saints/spica.jpg,12,0,
465,411,411,97,,hades-terrestrial-star-99,13,168,1,1,/cloth-schemes/hades-specters/deadly-beetle-stand.jpg,1,1,
466,412,412,,,hades-celestial-star-22,13,168,6,6,/cloth-schemes/hades-specters/steven.jpg,29,0,
467,524,519,133,,athena-saints-35,3,582,31,8,/cloth-schemes/athena-saints/equuleus-subaru-steel.png,16,16,
468,524,519,133,,athena-saints-35,5,582,5,31,/cloth-schemes/athena-saints/equuleus-subaru.png,16,16,
469,524,531,304,v1,pallas-gods,9,323,5,5,/cloth-schemes/pallas-pallasites/saturn-subaru-v1.png,16,16,
470,414,414,83,,athena-saints-29,6,582,1,1,/cloth-schemes/athena-saints/crater-suikyo.jpg,4,4,
471,414,414,146,,hades-celestial-star-6,13,168,,,,4,0,
472,415,415,236,,pallas-unknown-secondclass,33,323,31,8,/cloth-schemes/pallas-pallasites/mystic-stone-surt.png,16,0,
